startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,nconst
1944,107,"Crime,Drama,Film-Noir",7.7,13536.0,nm0000485,"nm0425913,nm0909260","nm0000064,nm0557339,nm0107631"
1945,97,"Crime,Drama,Mystery",7.5,12387.0,nm0163229,"nm0002005,nm0629580","nm0280178,nm0404158,nm0371775,nm0950019"
1945,86,"Drama,Romance",8.0,34374.0,nm0000180,"nm0002021,nm0369743,nm0000180,nm0623768","nm0002145,nm0391361"
1945,103,"Drama,Horror",7.7,10475.0,"nm0146709,nm0357607,nm0187769,nm0213136","nm0047786,nm0534191,nm0165021,nm0920229,nm0072478","nm0424345,nm0714878,nm0191745"
1945,68,"Crime,Drama,Film-Noir",7.4,14397.0,nm0880618,"nm0326107,nm0600755","nm0623684,nm0531705"
1945,189,"Drama,Romance",8.4,17763.0,nm0138893,nm0699535,"nm0056761,nm0105482,nm0719749"
1945,110,"Drama,Film-Noir,Romance",7.6,10526.0,nm0821472,"nm0842485,nm0930082","nm0664273,nm0001637"
1945,101,"Drama,Film-Noir",7.9,32680.0,nm0000697,"nm0413352,nm0102818,nm0000697","nm0001537,nm0856062,nm0196247"
1945,111,"Crime,Drama,Film-Noir",8.0,21966.0,nm0002031,"nm0532030,nm0128906,nm0001203,nm0344391,nm0540816,nm0682787,nm0877957,nm0928603,nm0932163","nm0007217,nm0779923"
1945,110,"Drama,Fantasy,Horror",7.5,11391.0,nm0506797,"nm0506797,nm0928492","nm0001695,nm0368836"
1945,102,"Drama,Film-Noir,Thriller",7.8,13971.0,nm0000485,"nm0478579,nm0610207,nm0629580","nm0000064,nm0002053"
1945,111,"Film-Noir,Mystery,Romance",7.6,42196.0,nm0000033,"nm0372942,nm4465001,nm0534191,nm0739676,nm0761573","nm0000060,nm0155011,nm0001991"
1944,71,"Animation,Comedy,Family",6.4,11875.0,"nm0314671,nm0949597,nm0455741,nm0730860,nm0272568","nm0109205,nm0855804,nm0780799,nm0670328,nm0942723,nm0687624,nm0931614,nm0183183,nm0174974,nm0091069,nm0335469,nm0400056,nm0810324",nm0001359
1946,96,"Drama,Fantasy,Romance",7.9,23635.0,"nm0167496,nm0168413","nm0168413,nm0207305",nm0544786
1946,114,"Crime,Film-Noir,Mystery",7.9,77345.0,nm0001328,"nm0001203,nm0102824,nm0299154,nm0151452","nm0000007,nm0725891"
1946,110,"Drama,Film-Noir,Romance",7.7,27047.0,nm0896533,"nm0254154,nm0252100,nm0663763,nm0372942","nm0001229,nm0534317,nm0130407"
1946,118,"Adventure,Drama,Mystery",7.8,21477.0,nm0000180,"nm0002042,nm0000180,nm0623768,nm0369743,nm0909727,nm0569414","nm0590055,nm0905697"
1946,130,"Drama,Family,Fantasy",8.6,386905.0,nm0001008,"nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858","nm0000071,nm0000859,nm0593775"
1946,103,"Crime,Drama,Film-Noir",7.8,18482.0,nm0802563,"nm0892044,nm0002133,nm0001379,nm0112218","nm0000044,nm0639529,nm0215260"
1946,104,"Comedy,Drama,Fantasy",8.1,18728.0,"nm0003836,nm0696247","nm0003836,nm0696247","nm0000057,nm0178509"
1946,97,"Biography,Drama,Western",7.8,21051.0,nm0000406,"nm0257143,nm0588003,nm0375500,nm0482193","nm0000020,nm0001514"
1946,102,"Drama,Film-Noir,Romance",7.9,90078.0,nm0000033,"nm0372942,nm0000033,nm0285218,nm0644048","nm0000026,nm0001647,nm0129894"
1946,113,"Crime,Drama,Film-Noir",7.5,18009.0,nm0307819,"nm0750822,nm0124002,nm0128906","nm0002092,nm0445523,nm0002025"
1945,103,"Drama,Thriller,War",8.0,22579.0,nm0744023,"nm0024847,nm0000019,nm0744023,nm0175924","nm0264762,nm0656496,nm0030383"
1946,94,"Animation,Comedy,Family",7.1,11049.0,"nm0287836,nm0414144","nm0721468,nm0335577,nm0710683,nm0364873,nm0670328,nm0942723,nm0821707","nm0237985,nm0059934"
1946,95,"Crime,Drama,Film-Noir",7.4,23350.0,nm0000080,"nm0892044,nm0873193,nm0242938,nm0000080,nm0001379","nm0000080,nm0000064,nm0580882"
1947,109,"Comedy,Drama,Fantasy",7.6,13580.0,nm0467396,"nm0792845,nm0073394,nm0622251,nm0000697,nm0102818","nm0000026,nm0000057,nm0941253"
